"","Exp_IDs","ID_IDs","combi","Light","Stage","Age","Spec","Rep","sws1","sws2b","sws2a","EF1A","GAPDH","G_mean","relsws1","relsws2b","relsws2a","day"
"85","PRX110","RR-E23-XIL01","RR-E23-XIL","RR","E",23,"XIL",1,24.693536115,22.180093115,22.34386643,19.0662747608495,20.1154035505276,19.5838150272036,0.02896,0.16536,0.14762,3
"86","PRX116","RR-E30-XIL01","RR-E30-XIL","RR","E",30,"XIL",1,26.1607524051757,22.3188483968602,21.1335807018239,21.2126729331737,19.6837858927947,20.4339353094423,0.01888,0.27076,0.61572,10
"87","PRX12","RW-E20-XIL02","RW-E20-XIL","RW","E",20,"XIL",2,27.0142350441025,22.3866674887153,21.6582464730554,19.3819224893958,16.9079388338515,18.102716921312,0.00208,0.05133,0.08505,0
"88","PRX13","RW-E21-XIL02","RW-E21-XIL","RW","E",21,"XIL",2,25.5412283257508,22.5936466833301,27.4036006106232,20.5179149916503,17.8169183515841,19.1197807558292,0.01167,0.09,0.00321,1
"89","PRX14","RW-E22-XIL02","RW-E22-XIL","RW","E",22,"XIL",2,25.0100806832885,23.4192278012837,29.529957480692,22.5521339876244,19.8154149066822,21.1395338642049,0.06837,0.20594,0.00298,2
"90","PRX142","WW-E24-XIL02","WW-E24-XIL","WW","E",24,"XIL",2,21.6598897933625,24.3387444283863,36.0172675541375,21.0834656208359,19.0710622252723,20.0520344299362,0.32809,0.05124,2e-05,4
"91","PRX15","RW-E23-XIL02","RW-E23-XIL","RW","E",23,"XIL",2,24.7464278929596,23.2956464534638,29.1522838890977,19.8220896936651,17.4268204434437,18.5859085843372,0.01398,0.03821,0.00066,3
"92","PRX153","WW-E24-XIL01","WW-E24-XIL","WW","E",24,"XIL",1,22.2963979488823,27.0115866038215,25.3232023578098,17.8750761863117,17.7692508475662,17.8220849698886,0.04499,0.00171,0.00552,4
"93","PRX16","RW-E24-XIL02","RW-E24-XIL","RW","E",24,"XIL",2,27.312288659785,27.7833374152919,31.4587430863339,22.5529694643295,21.1791966773329,21.8552917148895,0.02277,0.01642,0.00129,4
"94","PRX162","RR-L39-XIL02","RR-L39-XIL","RR","L",39,"XIL",2,26.8502431362977,24.2338231824918,21.1448087795948,20.3711866359579,19.9804797519817,20.1748874124144,0.00978,0.06,0.51053,4
"95","PRX172","RR-E23-XIL03","RR-E23-XIL","RR","E",23,"XIL",3,27.3140727269051,22.6778325508545,23.0515959365966,22.3352250901566,20.1351688728943,21.2066859505301,0.0145,0.3607,0.27837,3
"96","PRX179","RW-L36-XIL02","RW-L36-XIL","RW","L",36,"XIL",2,26.2945277436438,23.1766757891534,25.7036635588401,20.6568905633649,19.8519023345971,20.250396885009,0.01515,0.13155,0.02282,1
"97","PRX180","RW-L37-XIL02","RW-L37-XIL","RW","L",37,"XIL",2,28.2215434128961,23.6733032679123,20.0790531564354,20.5077961600146,17.6777725584307,19.0402772088905,0.00172,0.0403,0.48674,2
"98","PRX181","RW-L38-XIL02","RW-L38-XIL","RW","L",38,"XIL",2,23.4544534074805,23.2696858126254,28.2564491151646,20.8221668992562,18.0742319911321,19.3996050242068,0.06017,0.06839,0.00216,3
"99","PRX182","RW-L39-XIL02","RW-L39-XIL","RW","L",39,"XIL",2,23.5327011329617,23.5206070478377,28.5413262658605,21.1360512485368,20.613389659316,20.8730845886602,0.15826,0.15959,0.00492,4
"100","PRX187","WR-L44-XIL01","WR-L44-XIL","WR","L",44,"XIL",1,27.3883260795209,27.0641129299885,19.9291429987844,21.4736100495882,17.5972717868278,19.4390573919355,0.00405,0.00507,0.71198,9
"101","PRX188","WR-L45-XIL01","WR-L45-XIL","WR","L",45,"XIL",1,30.3424234268002,22.8138863389602,21.206324273449,21.5167481173787,20.3,20.899521209415,0.00144,0.26529,0.80843,10
"102","PRX2","WR-L36-XIL01","WR-L36-XIL","WR","L",36,"XIL",1,19.1568513024,21.2150548561787,24.8949044241015,15.2962066872593,17.5939410867604,16.4048943704783,0.14845,0.03564,0.00278,1
"103","PRX20","RR-L39-XIL01","RR-L39-XIL","RR","L",39,"XIL",1,25.3795749672942,21.2360415124388,21.4969344140982,20.3115362076872,20.2557123318633,20.2836050652032,0.02924,0.51676,0.43127,4
"104","PRX201","RR-L45-XIL02","RR-L45-XIL","RR","L",45,"XIL",2,26.60761607,20.4646935,18.93535006,18.9675428624325,18.0622414188986,18.509358127838,0.00365,0.25786,0.74433,10
"105","PRX209","RW-E20-XIL03","RW-E20-XIL","RW","E",20,"XIL",3,26.1301287430839,22.01000340825,24.1009652400489,23.4025019356651,20.9908629029952,22.1639055610384,0.06398,1.11257,0.26115,0
"106","PRX210","RW-E21-XIL03","RW-E21-XIL","RW","E",21,"XIL",3,25.6161063362613,22.9200077182899,25.0857987244538,19.7224688376776,16.9454997271901,18.2813317432944,0.00619,0.04014,0.00895,1
"107","PRX218","RW-E30-XIL03","RW-E30-XIL","RW","E",30,"XIL",3,27.0147042546438,29.1075410844998,30.3992742501367,26.1616590713472,25.4132459965856,25.7847373005612,0.42633,0.09994,0.04082,10
"108","PRX219","WR-E20-XIL03","WR-E20-XIL","WR","E",20,"XIL",3,22.5352685642934,26.0637988889426,30.670606019143,19.5751894018266,17.879720933719,18.7082581693046,0.07046,0.00611,0.00025,0
"109","PRX220","WR-E21-XIL03","WR-E21-XIL","WR","E",21,"XIL",3,26.769093824156,22.0819833011873,20.4075298003397,19.5476112657784,17.1307971659206,18.2993487226271,0.00282,0.07266,0.23194,1
"110","PRX221","WR-E22-XIL03","WR-E22-XIL","WR","E",22,"XIL",3,28.49122731633,24.8521660842882,21.4940476596865,21.9748821226366,20.6260754755046,21.2897998399895,0.00679,0.08465,0.86799,2
"111","PRX222","WR-E23-XIL03","WR-E23-XIL","WR","E",23,"XIL",3,26.1538774811916,24.2748316775048,20.4716784925956,20.6044036145796,17.5601597319602,19.0214778251795,0.00713,0.02622,0.36597,3
"112","PRX223","WR-E24-XIL03","WR-E24-XIL","WR","E",24,"XIL",3,28.1217525481807,24.5979837028744,21.6354134284525,20.1766860223604,18.3523560815351,19.2429136678334,0.00212,0.02443,0.19045,4
"113","PRX224","WR-L35-XIL02","WR-L35-XIL","WR","L",35,"XIL",2,29.7710374026213,33.8228528975286,30.7899559724183,29.0655823807252,28.1631219842025,28.6107941541344,0.44744,0.02698,0.2208,0
"114","PRX225","WR-L36-XIL02","WR-L36-XIL","WR","L",36,"XIL",2,30.2924270466864,32.3468180398003,30.3259570710634,28.3922969704575,27.5424249366473,27.9641325287917,0.19912,0.04794,0.19454,1
"115","PRX226","WR-L37-XIL02","WR-L37-XIL","WR","L",37,"XIL",2,32.760722422085,33.1467636309421,28.5805389897555,29.0799485232068,28.4336894328093,28.7550034781939,0.06225,0.04764,1.12855,2
"118","PRX233","WR-L44-XIL02","WR-L44-XIL","WR","L",44,"XIL",2,30.6481102944504,26.6061412473696,23.7283779047159,22.6080434557673,21.9273629074607,22.2651021439887,0.003,0.04934,0.36267,9
"119","PRX239","RW-L35-XIL03","RW-L35-XIL","RW","L",35,"XIL",3,28.1957196264971,23.347074490509,21.33687670774,20.6893740391687,20.8084697591052,20.7488364500002,0.00573,0.16514,0.66525,0
"120","PRX250","WR-L37-XIL03","WR-L37-XIL","WR","L",37,"XIL",3,24.139189935636,21.6726856114393,23.162251259695,22.6691402772638,20.2814303584432,21.4420752218414,0.1542,0.85227,0.30351,2
"121","PRX251","WR-L38-XIL03","WR-L38-XIL","WR","L",38,"XIL",3,29.0717512325275,24.8800201350789,25.6743567754357,24.4933142168861,23.5098855351512,23.9965625374862,0.02966,0.54207,0.31256,3
"122","PRX257","RW-L45-XIL02","RW-L45-XIL","RW","L",45,"XIL",2,23.7576979941906,26.1211835042665,29.6683313012901,25.2995400525371,21.5873427692543,23.3698490157424,0.76427,0.14851,0.0127,10
"123","PRX265","RR-E24-XIL03","RR-E24-XIL","RR","E",24,"XIL",3,27.115625543201,22.7571237796893,22.0098187320485,22.0232298427924,21.2040618041261,21.6097646149384,0.02201,0.45145,0.75783,4
"124","PRX280","WR-E30-XIL03","WR-E30-XIL","WR","E",30,"XIL",3,28.6810196687215,24.8308577844809,20.8750660826371,22.3532146472425,19.4296083490354,20.840206475413,0.00436,0.06291,0.97613,10
"125","PRX289","WW-E24-XIL03","WW-E24-XIL","WW","E",24,"XIL",3,23.1297008510222,27.0602056142759,32.2033975032071,23.2377117088365,21.9779266121493,22.5990425144759,0.69224,0.0454,0.00128,4
"126","PRX3","WR-L37-XIL01","WR-L37-XIL","WR","L",37,"XIL",1,22.0574042164748,20.6109360623942,21.4954175839452,18.582507861159,17.4115452743625,17.987500575004,0.05954,0.16228,0.0879,2
"127","PRX301","RW-E22-XIL04","RW-E22-XIL","RW","E",22,"XIL",4,25.5850380582197,23.278873666997,27.6347893158273,21.3582979931799,20.423010982634,20.8854196626518,0.03848,0.19033,0.00929,2
"128","PRX302","RW-E23-XIL04","RW-E23-XIL","RW","E",23,"XIL",4,25.2061219270965,24.0513146572861,29.1725589255246,21.9556279523863,19.6497658891247,20.770723367594,0.04622,0.10291,0.00296,3
"129","PRX303","RW-E24-XIL04","RW-E24-XIL","RW","E",24,"XIL",4,23.2618480050099,23.0093136868822,28.972947363239,22.4687265196943,19.8795477954541,21.1345244269004,0.22888,0.27267,0.00437,4
"130","PRX309","RW-E30-XIL04","RW-E30-XIL","RW","E",30,"XIL",4,20.9664621741246,23.4565983482604,27.131884318942,20.004772968146,16.1145827142295,17.9546252724631,0.12398,0.02207,0.00173,10
"131","PRX31","RW-E30-XIL02","RW-E30-XIL","RW","E",30,"XIL",2,23.0413036102036,23.4823125592707,26.0242406527168,20.5348489425438,20.1851231794631,20.3592351373256,0.15582,0.11478,0.01971,10
